,R2 Tarin,Q2,R2 Test
0,0.5608347215871227,0.2577827986481598,-0.07990306053888951
1,0.49237827833716985,0.38245739482186814,-0.3722279359575249
2,0.6204567330861879,0.1782051769840589,-0.20942012317229963
3,0.5718796403281139,0.37525036458417027,-0.2733193781665175
4,0.6052768811905915,0.20198349739982646,-0.46225127866360816
5,0.49868184450826303,0.22403396885235982,-0.1479478601823525
6,0.5335601658184781,0.3125812047239256,-0.030240637500571488
7,0.5582323568358907,0.13885023087655957,-0.2031910750176762
8,0.5658506539287176,0.21422799300767115,-0.1123053339156721
9,0.5130634146076458,0.34979043890612416,-0.25646230660855673
