,half.life..days.
0,1.3031960574204888
1,1.513217600067939
2,1.320146286111054
3,0.4623979978989561
4,0.47712125471966244
5,0.23299611039215382
6,0.22530928172586284
7,-0.2596373105057561
10,-0.9208187539523752
13,-0.42021640338318983
14,-0.575118363368933
15,-1.154901959985743
16,-1.3979400086720375
17,2.041392685158225
18,2.12057393120585
19,1.4835872969688941
21,1.5613399414589013
23,1.8520528086978505
25,1.6147917919564174
28,-0.46852108295774486
29,-0.2006594505464183
30,-0.6575773191777937
31,-1.0
32,-1.0555173278498313
33,-1.585026652029182
34,-0.9208187539523752
35,-0.958607314841775
40,-1.3979400086720375
41,-1.744727494896694
42,1.9324737646771533
46,1.7810369386211318
47,1.662757831681574
50,1.6334684555795864
51,1.6989700043360187
52,0.9731278535996987
55,1.0755469613925308
58,1.8280150642239767
62,1.9912260756924949
63,3.8611459408661815
64,3.407985421308136
65,3.234390722392192
66,3.0536545582907473
67,4.34691015708935
68,3.4653828514484184
69,0.4266738880213728
70,0.5207454715194824
71,0.18695633546541224
72,0.003460532109506489
73,0.5696664623252687
74,-0.025949097207122653
75,0.47827783191960466
76,0.4483971034577676
77,1.0530784434834197
78,0.9542425094393249
79,0.9731278535996987
80,1.0170333392987803
81,0.9030899869919435
82,0.9542425094393249
83,1.1760912590556813
84,-0.8004276451862263
85,-0.9178132439324553
86,-0.8750612635002737
87,0.0
88,1.429752280002408
89,1.3159703454569178
90,0.2355284469075489
91,-0.05551732784983137
92,0.26245108973042947
93,0.21484384804769785
94,-0.8239087409443188
95,-0.721246399047171
97,1.4578818967339924
99,1.3944516808262162
102,3.431524584187451
103,3.234390722392192
104,3.009450895798694
105,2.9425041061680806
106,3.225050696138049
107,3.0536545582907473
108,2.8457180179666586
109,2.8674674878590514
110,2.5998830720736876
111,2.611723308007342
112,3.049605612594973
113,3.0576661039098294
114,3.0464951643347082
115,3.0538464268522527
116,2.8318697742805017
117,2.863322860120456
119,3.089905111439398
120,2.82020145948564
121,2.8363241157067516
122,2.82020145948564
123,2.8363241157067516
124,2.9278834103307068
126,2.9278834103307068
128,2.9278834103307068
129,2.940516484932567
132,2.5998830720736876
133,2.611723308007342
136,3.0464951643347082
137,3.0538464268522527
140,3.0962145853464054
142,2.82020145948564
143,2.8363241157067516
144,2.82020145948564
145,2.8363241157067516
146,2.9278834103307068
147,2.940516484932567
149,2.940516484932567
150,2.9278834103307068
151,2.940516484932567
174,2.0253058652647704
175,2.0791812460476247
176,1.6334684555795864
177,1.8692317197309762
178,2.6138418218760693
179,0.6127838567197355
180,2.8530895298518657
181,2.3729120029701067
182,2.802089257881733
183,1.76767522402796
184,1.6011905326153335
185,-1.0
186,-1.3010299956639813
187,1.4708513245261177
188,0.3873898263387294
191,3.492620722043192
192,3.139249217571607
193,3.295786940251609
194,1.6599162000698502
195,1.3820170425748683
196,0.5403294747908738
197,0.5987905067631151
198,-0.5086383061657274
199,-0.6989700043360187
202,1.505149978319906
203,3.8294645928594884
204,2.1492191126553797
205,1.9395192526186185
206,1.394801777162711
208,1.4466924663715273
213,1.4099331233312946
215,1.5365584425715302
217,1.6242820958356683
218,1.505149978319906
220,2.6660965854124314
221,2.579326203755255
222,2.579326203755255
223,2.5997193623970984
224,2.5997193623970984
225,2.5997193623970984
226,1.6414741105040995
228,2.726645720240912
229,2.7744804688604328
233,2.3616334139100563
234,3.6414741105040997
235,3.2155053782318186
237,2.738384123512156
240,3.1957613200360613
241,2.960232873128512
244,2.9240207004740677
245,2.960232873128512
246,2.708420900134713
247,2.708420900134713
253,3.333144876098619
255,3.5622928644564746
257,3.325720858019412
260,3.2612628687924934
261,3.2612628687924934
262,3.6414741105040997
263,3.2155053782318186
265,1.5831987739686226
267,2.24551266781415
269,1.6937269489236468
271,2.103803720955957
273,2.103803720955957
274,2.4712917110589387
275,2.578639209968072
277,3.6229907048100864
278,3.4373541278481747
279,3.4373541278481747
280,3.4373541278481747
281,3.41355121317555
282,3.269863040554411
283,3.2612628687924934
286,3.431524584187451
