"Ligand.Name","Canonical.SMILES","Albumin.source.organism","Albumin.concentration,.μM","Method","Scatchard.equation","Temperature,.K"
"PFNA","C(=O)(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O","Homo sapiens",125,"DSF",FALSE,NA
"PFDA","C(=O)(C(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O","Homo sapiens",125,"DSF",FALSE,NA
"PFUnDA","C(=O)(C(C(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O","Homo sapiens",125,"DSF",FALSE,NA
"PFDoA","C(=O)(C(C(C(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O","Homo sapiens",125,"DSF",FALSE,NA
"PFBS","C(C(C(F)(F)S(=O)(=O)O)(F)F)(C(F)(F)F)(F)F","Homo sapiens",125,"DSF",FALSE,NA
"PFHxS","C(C(C(C(F)(F)S(=O)(=O)O)(F)F)(F)F)(C(C(F)(F)F)(F)F)(F)F","Homo sapiens",125,"DSF",FALSE,NA
"PFOS","C(C(C(C(C(F)(F)S(=O)(=O)O)(F)F)(F)F)(F)F)(C(C(C(F)(F)F)(F)F)(F)F)(F)F","Homo sapiens",125,"DSF",FALSE,NA
"E1","C(C(F)(F)F)(OC(C(C(F)(F)F)(F)F)(F)F)F","Homo sapiens",125,"DSF",FALSE,NA
"HFPO-DA","C(=O)(C(C(F)(F)F)(OC(C(C(F)(F)F)(F)F)(F)F)F)O","Homo sapiens",125,"DSF",FALSE,NA
"Nafion bp2","C(C(F)(F)F)(OC(C(C(F)(F)F)(OC(C(F)(F)S(=O)(=O)O)(F)F)F)(F)F)F","Homo sapiens",125,"DSF",FALSE,NA
"PFO3DoDA","C(=O)(C(OC(C(OC(C(OC(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O","Homo sapiens",125,"DSF",FALSE,NA
"3:3 FTCA","C(CC(C(C(F)(F)F)(F)F)(F)F)C(=O)O","Homo sapiens",125,"DSF",FALSE,NA
"5:3 FTCA","C(CC(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)C(=O)O","Homo sapiens",125,"DSF",FALSE,NA
"6:3 FTCA","C(CC(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)C(=O)O","Homo sapiens",125,"DSF",FALSE,NA
"8:3 FTCA","C(CC(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)C(=O)O","Homo sapiens",125,"DSF",FALSE,NA
"4:2 FTSA","C(CS(=O)(=O)O)C(C(C(C(F)(F)F)(F)F)(F)F)(F)F","Homo sapiens",125,"DSF",FALSE,NA
"6:2 FTSA","C(CS(=O)(=O)O)C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F","Homo sapiens",125,"DSF",FALSE,NA
"PFBA","C(=O)(C(C(C(F)(F)F)(F)F)(F)F)O","Homo sapiens",600,"Equilibrium dialysis",FALSE,310
"PFPeA","C(=O)(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)O","Homo sapiens",600,"Equilibrium dialysis",FALSE,310
"PFHxA","C(=O)(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)O","Homo sapiens",600,"Equilibrium dialysis",FALSE,310
"PFHpA","C(=O)(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O","Homo sapiens",600,"Equilibrium dialysis",FALSE,310
"PFOA","C(=O)(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O","Homo sapiens",600,"Equilibrium dialysis",FALSE,310
"PFNA","C(=O)(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O","Homo sapiens",600,"Equilibrium dialysis",FALSE,310
"PFDA","C(=O)(C(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O","Homo sapiens",600,"Equilibrium dialysis",FALSE,310
"PFUnDA","C(=O)(C(C(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O","Homo sapiens",600,"Equilibrium dialysis",FALSE,310
"PFDoA","C(=O)(C(C(C(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O","Homo sapiens",600,"Equilibrium dialysis",FALSE,310
"PFTrDA","C(=O)(C(C(C(C(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O","Homo sapiens",600,"Equilibrium dialysis",FALSE,310
"PFTeDA","C(=O)(C(C(C(C(C(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O","Homo sapiens",600,"Equilibrium dialysis",FALSE,310
"PFOS","C(C(C(C(C(F)(F)S(=O)(=O)O)(F)F)(F)F)(F)F)(C(C(C(F)(F)F)(F)F)(F)F)(F)F","Homo sapiens",600,"Equilibrium dialysis",FALSE,310
"PFBS","C(C(C(F)(F)S(=O)(=O)O)(F)F)(C(F)(F)F)(F)F","Homo sapiens",600,"Equilibrium dialysis",FALSE,310
"PFPeS","C(C(C(F)(F)F)(F)F)(C(C(F)(F)S(=O)(=O)O)(F)F)(F)F","Homo sapiens",600,"Equilibrium dialysis",FALSE,310
"PFHxS","C(C(C(C(F)(F)S(=O)(=O)O)(F)F)(F)F)(C(C(F)(F)F)(F)F)(F)F","Homo sapiens",600,"Equilibrium dialysis",FALSE,310
"PFHpS","C(C(C(C(F)(F)F)(F)F)(F)F)(C(C(C(F)(F)S(=O)(=O)O)(F)F)(F)F)(F)F","Homo sapiens",600,"Equilibrium dialysis",FALSE,310
"PFPrS","C(C(F)(F)F)(C(F)(F)S(=O)(=O)O)(F)F","Homo sapiens",600,"Equilibrium dialysis",FALSE,310
"PFNS","C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(C(C(C(C(F)(F)S(=O)(=O)O)(F)F)(F)F)(F)F)(F)F","Homo sapiens",600,"Equilibrium dialysis",FALSE,310
"PFDS","C(C(C(C(C(C(F)(F)S(=O)(=O)O)(F)F)(F)F)(F)F)(F)F)(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F","Homo sapiens",600,"Equilibrium dialysis",FALSE,310
"FOSA","C(C(C(C(C(F)(F)S(=O)(=O)N)(F)F)(F)F)(F)F)(C(C(C(F)(F)F)(F)F)(F)F)(F)F","Homo sapiens",600,"Equilibrium dialysis",FALSE,310
"MeFOSAA","CN(CC(=O)O)S(=O)(=O)C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F","Homo sapiens",600,"Equilibrium dialysis",FALSE,310
"EtFOSAA","CCN(CC(=O)O)S(=O)(=O)C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F","Homo sapiens",600,"Equilibrium dialysis",FALSE,310
"4:2 FTSA","C(CS(=O)(=O)O)C(C(C(C(F)(F)F)(F)F)(F)F)(F)F","Homo sapiens",600,"Equilibrium dialysis",FALSE,310
"6:2 FTSA","C(CS(=O)(=O)O)C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F","Homo sapiens",600,"Equilibrium dialysis",FALSE,310
"8:2 FTSA","C(CS(=O)(=O)O)C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F","Homo sapiens",600,"Equilibrium dialysis",FALSE,310
