,R2 Tarin,Q2,R2 Test
0,0.7424349394846097,0.24751243810274337,-0.2871796427422981
1,0.7518689411943853,0.37919837229931197,-0.00018076850788562027
2,0.7027828852580428,0.3330377333691079,0.11693704373396197
3,0.7000973322763067,0.2723576945624091,-0.3271160435113607
4,0.8097711320015477,0.012234392411843764,-0.21901763898000404
5,0.7175326910997877,0.3544186785890062,-0.6923217146449199
6,0.6281191913495217,0.2705579482242242,-0.04677713179638188
7,0.7334542717653998,0.2722448120004106,-0.37380090356815443
8,0.706782640924565,0.2889842320737521,-0.43652231251262075
9,0.7542716817745193,0.1488721996964819,-0.0780943732210504
