Study,DOI,Substance,Abbreviation,CAS,Smiles,Species,Sex,Tissue,Exposure Concentration (ug/L),Exposure (days),Depuration (days),Mixture,PFBS_mixture,PFHxS_mixture,PFOS_mixture,PFBA_mixture,PFPA_mixture,PFHxA_mixture,PFHpA_mixture,PFOA_mixture,PFNA_mixture,PFDA_mixture,PFUnA_mixture,PFDoA_mixture,PFTrDA_mixture,PFTeDA_mixture,PFHxPA_mixture,PFOPA_mixture,PFDPA_mixture,C6/C6_PFPiA_mixture,C6/C8_PFPiA_mixture,C8/C8_PFPiA_mixture,C6/C10_PFPiA_mixture,C8/C10_PFPiA_mixture,C6/C12_PFPiA_mixture,log(BCF) (L/Kg)
Chen et al. (2016),http://dx.doi.org/10.1016/j.scitotenv.2016.05.215 ,Perfluorododecanoic acid,PFDoA,307-55-1,C(=O)(C(C(C(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,Danio rerio,female,whole body,1.79,24,24,TRUE,2.15,0.69,1.12,1.21,0,1.22,0,0.86,0.69,1.57,2.03,1.79,0.73,3,4.52,1.61,0.66,0.22,0.000506,0.0000372,0.0000264,0.00001,0.0000335,4.24
Chen et al. (2016),http://dx.doi.org/10.1016/j.scitotenv.2016.05.215 ,Perfluorododecanoic acid,PFDoA,307-55-1,C(=O)(C(C(C(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,Danio rerio,female,whole body,11.6,24,24,TRUE,17.8,8.59,15.2,6.71,0,7.02,0,6.64,3.63,3.47,14.8,11.6,8.87,3,4.39,6.46,4.179,5.11,0.057,0.00237,0.00208,0.00335,0.00445,3.86
Chen et al. (2016),http://dx.doi.org/10.1016/j.scitotenv.2016.05.215 ,Perfluorotridecanoic acid,PFTrDA,72629-94-8,C(=O)(C(C(C(C(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,Danio rerio,female,plasma,0.73,24,24,TRUE,2.15,0.69,1.12,1.21,0,1.22,0,0.86,0.69,1.57,2.03,1.79,0.73,3,4.52,1.61,0.66,0.22,0.000506,0.0000372,0.0000264,0.00001,0.0000335,5.65
Chen et al. (2016),http://dx.doi.org/10.1016/j.scitotenv.2016.05.215 ,Perfluorotridecanoic acid,PFTrDA,72629-94-8,C(=O)(C(C(C(C(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,Danio rerio,female,plasma,8.87,24,24,TRUE,17.8,8.59,15.2,6.71,0,7.02,0,6.64,3.63,3.47,14.8,11.6,8.87,3,4.39,6.46,4.179,5.11,0.057,0.00237,0.00208,0.00335,0.00445,5.09
Chen et al. (2016),http://dx.doi.org/10.1016/j.scitotenv.2016.05.215 ,Perfluorotridecanoic acid,PFTrDA,72629-94-8,C(=O)(C(C(C(C(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,Danio rerio,female,liver,0.73,24,24,TRUE,2.15,0.69,1.12,1.21,0,1.22,0,0.86,0.69,1.57,2.03,1.79,0.73,3,4.52,1.61,0.66,0.22,0.000506,0.0000372,0.0000264,0.00001,0.0000335,5.02
Chen et al. (2016),http://dx.doi.org/10.1016/j.scitotenv.2016.05.215 ,Perfluorotridecanoic acid,PFTrDA,72629-94-8,C(=O)(C(C(C(C(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,Danio rerio,female,liver,8.87,24,24,TRUE,17.8,8.59,15.2,6.71,0,7.02,0,6.64,3.63,3.47,14.8,11.6,8.87,3,4.39,6.46,4.179,5.11,0.057,0.00237,0.00208,0.00335,0.00445,4.45
Chen et al. (2016),http://dx.doi.org/10.1016/j.scitotenv.2016.05.215 ,Perfluorotridecanoic acid,PFTrDA,72629-94-8,C(=O)(C(C(C(C(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,Danio rerio,female,muscle,0.73,24,24,TRUE,2.15,0.69,1.12,1.21,0,1.22,0,0.86,0.69,1.57,2.03,1.79,0.73,3,4.52,1.61,0.66,0.22,0.000506,0.0000372,0.0000264,0.00001,0.0000335,4.28
Chen et al. (2016),http://dx.doi.org/10.1016/j.scitotenv.2016.05.215 ,Perfluorotridecanoic acid,PFTrDA,72629-94-8,C(=O)(C(C(C(C(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,Danio rerio,female,muscle,8.87,24,24,TRUE,17.8,8.59,15.2,6.71,0,7.02,0,6.64,3.63,3.47,14.8,11.6,8.87,3,4.39,6.46,4.179,5.11,0.057,0.00237,0.00208,0.00335,0.00445,3.91
Chen et al. (2016),http://dx.doi.org/10.1016/j.scitotenv.2016.05.215 ,Perfluorotridecanoic acid,PFTrDA,72629-94-8,C(=O)(C(C(C(C(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,Danio rerio,female,ovary,0.73,24,24,TRUE,2.15,0.69,1.12,1.21,0,1.22,0,0.86,0.69,1.57,2.03,1.79,0.73,3,4.52,1.61,0.66,0.22,0.000506,0.0000372,0.0000264,0.00001,0.0000335,4.84
Chen et al. (2016),http://dx.doi.org/10.1016/j.scitotenv.2016.05.215 ,Perfluorotridecanoic acid,PFTrDA,72629-94-8,C(=O)(C(C(C(C(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,Danio rerio,female,ovary,8.87,24,24,TRUE,17.8,8.59,15.2,6.71,0,7.02,0,6.64,3.63,3.47,14.8,11.6,8.87,3,4.39,6.46,4.179,5.11,0.057,0.00237,0.00208,0.00335,0.00445,3.91
Chen et al. (2016),http://dx.doi.org/10.1016/j.scitotenv.2016.05.215 ,Perfluorotridecanoic acid,PFTrDA,72629-94-8,C(=O)(C(C(C(C(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,Danio rerio,female,whole body,0.73,24,24,TRUE,2.15,0.69,1.12,1.21,0,1.22,0,0.86,0.69,1.57,2.03,1.79,0.73,3,4.52,1.61,0.66,0.22,0.000506,0.0000372,0.0000264,0.00001,0.0000335,4.66
Chen et al. (2016),http://dx.doi.org/10.1016/j.scitotenv.2016.05.215 ,Perfluorotridecanoic acid,PFTrDA,72629-94-8,C(=O)(C(C(C(C(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,Danio rerio,female,whole body,8.87,24,24,TRUE,17.8,8.59,15.2,6.71,0,7.02,0,6.64,3.63,3.47,14.8,11.6,8.87,3,4.39,6.46,4.179,5.11,0.057,0.00237,0.00208,0.00335,0.00445,4.01
Chen et al. (2016),http://dx.doi.org/10.1016/j.scitotenv.2016.05.215 ,Perfluorotetradecanoic acid,PFTeDA,376-06-7,C(=O)(C(C(C(C(C(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,Danio rerio,female,plasma,0.15,24,24,TRUE,2.15,0.69,1.12,1.21,0,1.22,0,0.86,0.69,1.57,2.03,1.79,0.73,3,4.52,1.61,0.66,0.22,0.000506,0.0000372,0.0000264,0.00001,0.0000335,6.46
Chen et al. (2016),http://dx.doi.org/10.1016/j.scitotenv.2016.05.215 ,Perfluorotetradecanoic acid,PFTeDA,376-06-7,C(=O)(C(C(C(C(C(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,Danio rerio,female,plasma,3,24,24,TRUE,17.8,8.59,15.2,6.71,0,7.02,0,6.64,3.63,3.47,14.8,11.6,8.87,3,4.39,6.46,4.179,5.11,0.057,0.00237,0.00208,0.00335,0.00445,5.79
Chen et al. (2016),http://dx.doi.org/10.1016/j.scitotenv.2016.05.215 ,Perfluorotetradecanoic acid,PFTeDA,376-06-7,C(=O)(C(C(C(C(C(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,Danio rerio,female,liver,0.15,24,24,TRUE,2.15,0.69,1.12,1.21,0,1.22,0,0.86,0.69,1.57,2.03,1.79,0.73,3,4.52,1.61,0.66,0.22,0.000506,0.0000372,0.0000264,0.00001,0.0000335,5.56
Chen et al. (2016),http://dx.doi.org/10.1016/j.scitotenv.2016.05.215 ,Perfluorotetradecanoic acid,PFTeDA,376-06-7,C(=O)(C(C(C(C(C(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,Danio rerio,female,liver,3,24,24,TRUE,17.8,8.59,15.2,6.71,0,7.02,0,6.64,3.63,3.47,14.8,11.6,8.87,3,4.39,6.46,4.179,5.11,0.057,0.00237,0.00208,0.00335,0.00445,4.74
Chen et al. (2016),http://dx.doi.org/10.1016/j.scitotenv.2016.05.215 ,Perfluorotetradecanoic acid,PFTeDA,376-06-7,C(=O)(C(C(C(C(C(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,Danio rerio,female,muscle,0.15,24,24,TRUE,2.15,0.69,1.12,1.21,0,1.22,0,0.86,0.69,1.57,2.03,1.79,0.73,3,4.52,1.61,0.66,0.22,0.000506,0.0000372,0.0000264,0.00001,0.0000335,5.22
Chen et al. (2016),http://dx.doi.org/10.1016/j.scitotenv.2016.05.215 ,Perfluorotetradecanoic acid,PFTeDA,376-06-7,C(=O)(C(C(C(C(C(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,Danio rerio,female,muscle,3,24,24,TRUE,17.8,8.59,15.2,6.71,0,7.02,0,6.64,3.63,3.47,14.8,11.6,8.87,3,4.39,6.46,4.179,5.11,0.057,0.00237,0.00208,0.00335,0.00445,4.52
Chen et al. (2016),http://dx.doi.org/10.1016/j.scitotenv.2016.05.215 ,Perfluorotetradecanoic acid,PFTeDA,376-06-7,C(=O)(C(C(C(C(C(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,Danio rerio,female,ovary,0.15,24,24,TRUE,2.15,0.69,1.12,1.21,0,1.22,0,0.86,0.69,1.57,2.03,1.79,0.73,3,4.52,1.61,0.66,0.22,0.000506,0.0000372,0.0000264,0.00001,0.0000335,5.5
Chen et al. (2016),http://dx.doi.org/10.1016/j.scitotenv.2016.05.215 ,Perfluorotetradecanoic acid,PFTeDA,376-06-7,C(=O)(C(C(C(C(C(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,Danio rerio,female,ovary,3,24,24,TRUE,17.8,8.59,15.2,6.71,0,7.02,0,6.64,3.63,3.47,14.8,11.6,8.87,3,4.39,6.46,4.179,5.11,0.057,0.00237,0.00208,0.00335,0.00445,4.34
Chen et al. (2016),http://dx.doi.org/10.1016/j.scitotenv.2016.05.215 ,Perfluorotetradecanoic acid,PFTeDA,376-06-7,C(=O)(C(C(C(C(C(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,Danio rerio,female,whole body,0.15,24,24,TRUE,2.15,0.69,1.12,1.21,0,1.22,0,0.86,0.69,1.57,2.03,1.79,0.73,3,4.52,1.61,0.66,0.22,0.000506,0.0000372,0.0000264,0.00001,0.0000335,5.41
Chen et al. (2016),http://dx.doi.org/10.1016/j.scitotenv.2016.05.215 ,Perfluorotetradecanoic acid,PFTeDA,376-06-7,C(=O)(C(C(C(C(C(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,Danio rerio,female,whole body,3,24,24,TRUE,17.8,8.59,15.2,6.71,0,7.02,0,6.64,3.63,3.47,14.8,11.6,8.87,3,4.39,6.46,4.179,5.11,0.057,0.00237,0.00208,0.00335,0.00445,4.56
Chen et al. (2016),http://dx.doi.org/10.1016/j.scitotenv.2016.05.215 ,Perfluorohexylphosphonic acid,PFHxPA,40143-76-8,C(C(C(C(F)(F)P(=O)(O)O)(F)F)(F)F)(C(C(F)(F)F)(F)F)(F)F,Danio rerio,female,plasma,4.52,24,24,TRUE,2.15,0.69,1.12,1.21,0,1.22,0,0.86,0.69,1.57,2.03,1.79,0.73,3,4.52,1.61,0.66,0.22,0.000506,0.0000372,0.0000264,0.00001,0.0000335,1.48
Chen et al. (2016),http://dx.doi.org/10.1016/j.scitotenv.2016.05.215 ,Perfluorohexylphosphonic acid,PFHxPA,40143-76-8,C(C(C(C(F)(F)P(=O)(O)O)(F)F)(F)F)(C(C(F)(F)F)(F)F)(F)F,Danio rerio,female,plasma,4.39,24,24,TRUE,17.8,8.59,15.2,6.71,0,7.02,0,6.64,3.63,3.47,14.8,11.6,8.87,3,4.39,6.46,4.179,5.11,0.057,0.00237,0.00208,0.00335,0.00445,2.06
Chen et al. (2016),http://dx.doi.org/10.1016/j.scitotenv.2016.05.215 ,Perfluorohexylphosphonic acid,PFHxPA,40143-76-8,C(C(C(C(F)(F)P(=O)(O)O)(F)F)(F)F)(C(C(F)(F)F)(F)F)(F)F,Danio rerio,female,liver,4.52,24,24,TRUE,2.15,0.69,1.12,1.21,0,1.22,0,0.86,0.69,1.57,2.03,1.79,0.73,3,4.52,1.61,0.66,0.22,0.000506,0.0000372,0.0000264,0.00001,0.0000335,2.05
Chen et al. (2016),http://dx.doi.org/10.1016/j.scitotenv.2016.05.215 ,Perfluorohexylphosphonic acid,PFHxPA,40143-76-8,C(C(C(C(F)(F)P(=O)(O)O)(F)F)(F)F)(C(C(F)(F)F)(F)F)(F)F,Danio rerio,female,liver,4.39,24,24,TRUE,17.8,8.59,15.2,6.71,0,7.02,0,6.64,3.63,3.47,14.8,11.6,8.87,3,4.39,6.46,4.179,5.11,0.057,0.00237,0.00208,0.00335,0.00445,2.58
Chen et al. (2016),http://dx.doi.org/10.1016/j.scitotenv.2016.05.215 ,Perfluorohexylphosphonic acid,PFHxPA,40143-76-8,C(C(C(C(F)(F)P(=O)(O)O)(F)F)(F)F)(C(C(F)(F)F)(F)F)(F)F,Danio rerio,female,muscle,4.52,24,24,TRUE,2.15,0.69,1.12,1.21,0,1.22,0,0.86,0.69,1.57,2.03,1.79,0.73,3,4.52,1.61,0.66,0.22,0.000506,0.0000372,0.0000264,0.00001,0.0000335,0.48
Chen et al. (2016),http://dx.doi.org/10.1016/j.scitotenv.2016.05.215 ,Perfluorohexylphosphonic acid,PFHxPA,40143-76-8,C(C(C(C(F)(F)P(=O)(O)O)(F)F)(F)F)(C(C(F)(F)F)(F)F)(F)F,Danio rerio,female,muscle,4.39,24,24,TRUE,17.8,8.59,15.2,6.71,0,7.02,0,6.64,3.63,3.47,14.8,11.6,8.87,3,4.39,6.46,4.179,5.11,0.057,0.00237,0.00208,0.00335,0.00445,1.1
Chen et al. (2016),http://dx.doi.org/10.1016/j.scitotenv.2016.05.215 ,Perfluorohexylphosphonic acid,PFHxPA,40143-76-8,C(C(C(C(F)(F)P(=O)(O)O)(F)F)(F)F)(C(C(F)(F)F)(F)F)(F)F,Danio rerio,female,ovary,4.52,24,24,TRUE,2.15,0.69,1.12,1.21,0,1.22,0,0.86,0.69,1.57,2.03,1.79,0.73,3,4.52,1.61,0.66,0.22,0.000506,0.0000372,0.0000264,0.00001,0.0000335,1.41
Chen et al. (2016),http://dx.doi.org/10.1016/j.scitotenv.2016.05.215 ,Perfluorohexylphosphonic acid,PFHxPA,40143-76-8,C(C(C(C(F)(F)P(=O)(O)O)(F)F)(F)F)(C(C(F)(F)F)(F)F)(F)F,Danio rerio,female,ovary,4.39,24,24,TRUE,17.8,8.59,15.2,6.71,0,7.02,0,6.64,3.63,3.47,14.8,11.6,8.87,3,4.39,6.46,4.179,5.11,0.057,0.00237,0.00208,0.00335,0.00445,1.86
Chen et al. (2016),http://dx.doi.org/10.1016/j.scitotenv.2016.05.215 ,Perfluorohexylphosphonic acid,PFHxPA,40143-76-8,C(C(C(C(F)(F)P(=O)(O)O)(F)F)(F)F)(C(C(F)(F)F)(F)F)(F)F,Danio rerio,female,whole body,4.52,24,24,TRUE,2.15,0.69,1.12,1.21,0,1.22,0,0.86,0.69,1.57,2.03,1.79,0.73,3,4.52,1.61,0.66,0.22,0.000506,0.0000372,0.0000264,0.00001,0.0000335,1.21
Chen et al. (2016),http://dx.doi.org/10.1016/j.scitotenv.2016.05.215 ,Perfluorohexylphosphonic acid,PFHxPA,40143-76-8,C(C(C(C(F)(F)P(=O)(O)O)(F)F)(F)F)(C(C(F)(F)F)(F)F)(F)F,Danio rerio,female,whole body,4.39,24,24,TRUE,17.8,8.59,15.2,6.71,0,7.02,0,6.64,3.63,3.47,14.8,11.6,8.87,3,4.39,6.46,4.179,5.11,0.057,0.00237,0.00208,0.00335,0.00445,1.72
Chen et al. (2016),http://dx.doi.org/10.1016/j.scitotenv.2016.05.215 ,Perfluorooctylphosphonic acid,PFOPA,40143-78-0,C(C(C(C(C(F)(F)P(=O)(O)O)(F)F)(F)F)(F)F)(C(C(C(F)(F)F)(F)F)(F)F)(F)F,Danio rerio,female,plasma,1.61,24,24,TRUE,2.15,0.69,1.12,1.21,0,1.22,0,0.86,0.69,1.57,2.03,1.79,0.73,3,4.52,1.61,0.66,0.22,0.000506,0.0000372,0.0000264,0.00001,0.0000335,2.09
Chen et al. (2016),http://dx.doi.org/10.1016/j.scitotenv.2016.05.215 ,Perfluorooctylphosphonic acid,PFOPA,40143-78-0,C(C(C(C(C(F)(F)P(=O)(O)O)(F)F)(F)F)(F)F)(C(C(C(F)(F)F)(F)F)(F)F)(F)F,Danio rerio,female,plasma,6.46,24,24,TRUE,17.8,8.59,15.2,6.71,0,7.02,0,6.64,3.63,3.47,14.8,11.6,8.87,3,4.39,6.46,4.179,5.11,0.057,0.00237,0.00208,0.00335,0.00445,1.9
Chen et al. (2016),http://dx.doi.org/10.1016/j.scitotenv.2016.05.215 ,Perfluorooctylphosphonic acid,PFOPA,40143-78-0,C(C(C(C(C(F)(F)P(=O)(O)O)(F)F)(F)F)(F)F)(C(C(C(F)(F)F)(F)F)(F)F)(F)F,Danio rerio,female,liver,1.61,24,24,TRUE,2.15,0.69,1.12,1.21,0,1.22,0,0.86,0.69,1.57,2.03,1.79,0.73,3,4.52,1.61,0.66,0.22,0.000506,0.0000372,0.0000264,0.00001,0.0000335,2.78
Chen et al. (2016),http://dx.doi.org/10.1016/j.scitotenv.2016.05.215 ,Perfluorooctylphosphonic acid,PFOPA,40143-78-0,C(C(C(C(C(F)(F)P(=O)(O)O)(F)F)(F)F)(F)F)(C(C(C(F)(F)F)(F)F)(F)F)(F)F,Danio rerio,female,liver,6.46,24,24,TRUE,17.8,8.59,15.2,6.71,0,7.02,0,6.64,3.63,3.47,14.8,11.6,8.87,3,4.39,6.46,4.179,5.11,0.057,0.00237,0.00208,0.00335,0.00445,2.53
Chen et al. (2016),http://dx.doi.org/10.1016/j.scitotenv.2016.05.215 ,Perfluorooctylphosphonic acid,PFOPA,40143-78-0,C(C(C(C(C(F)(F)P(=O)(O)O)(F)F)(F)F)(F)F)(C(C(C(F)(F)F)(F)F)(F)F)(F)F,Danio rerio,female,muscle,1.61,24,24,TRUE,2.15,0.69,1.12,1.21,0,1.22,0,0.86,0.69,1.57,2.03,1.79,0.73,3,4.52,1.61,0.66,0.22,0.000506,0.0000372,0.0000264,0.00001,0.0000335,2.83
Chen et al. (2016),http://dx.doi.org/10.1016/j.scitotenv.2016.05.215 ,Perfluorooctylphosphonic acid,PFOPA,40143-78-0,C(C(C(C(C(F)(F)P(=O)(O)O)(F)F)(F)F)(F)F)(C(C(C(F)(F)F)(F)F)(F)F)(F)F,Danio rerio,female,muscle,6.46,24,24,TRUE,17.8,8.59,15.2,6.71,0,7.02,0,6.64,3.63,3.47,14.8,11.6,8.87,3,4.39,6.46,4.179,5.11,0.057,0.00237,0.00208,0.00335,0.00445,1.66
Chen et al. (2016),http://dx.doi.org/10.1016/j.scitotenv.2016.05.215 ,Perfluorooctylphosphonic acid,PFOPA,40143-78-0,C(C(C(C(C(F)(F)P(=O)(O)O)(F)F)(F)F)(F)F)(C(C(C(F)(F)F)(F)F)(F)F)(F)F,Danio rerio,female,ovary,1.61,24,24,TRUE,2.15,0.69,1.12,1.21,0,1.22,0,0.86,0.69,1.57,2.03,1.79,0.73,3,4.52,1.61,0.66,0.22,0.000506,0.0000372,0.0000264,0.00001,0.0000335,1.97
Chen et al. (2016),http://dx.doi.org/10.1016/j.scitotenv.2016.05.215 ,Perfluorooctylphosphonic acid,PFOPA,40143-78-0,C(C(C(C(C(F)(F)P(=O)(O)O)(F)F)(F)F)(F)F)(C(C(C(F)(F)F)(F)F)(F)F)(F)F,Danio rerio,female,ovary,6.46,24,24,TRUE,17.8,8.59,15.2,6.71,0,7.02,0,6.64,3.63,3.47,14.8,11.6,8.87,3,4.39,6.46,4.179,5.11,0.057,0.00237,0.00208,0.00335,0.00445,1.83
Chen et al. (2016),http://dx.doi.org/10.1016/j.scitotenv.2016.05.215 ,Perfluorooctylphosphonic acid,PFOPA,40143-78-0,C(C(C(C(C(F)(F)P(=O)(O)O)(F)F)(F)F)(F)F)(C(C(C(F)(F)F)(F)F)(F)F)(F)F,Danio rerio,female,whole body,1.61,24,24,TRUE,2.15,0.69,1.12,1.21,0,1.22,0,0.86,0.69,1.57,2.03,1.79,0.73,3,4.52,1.61,0.66,0.22,0.000506,0.0000372,0.0000264,0.00001,0.0000335,2.01
Chen et al. (2016),http://dx.doi.org/10.1016/j.scitotenv.2016.05.215 ,Perfluorooctylphosphonic acid,PFOPA,40143-78-0,C(C(C(C(C(F)(F)P(=O)(O)O)(F)F)(F)F)(F)F)(C(C(C(F)(F)F)(F)F)(F)F)(F)F,Danio rerio,female,whole body,6.46,24,24,TRUE,17.8,8.59,15.2,6.71,0,7.02,0,6.64,3.63,3.47,14.8,11.6,8.87,3,4.39,6.46,4.179,5.11,0.057,0.00237,0.00208,0.00335,0.00445,1.83
Chen et al. (2016),http://dx.doi.org/10.1016/j.scitotenv.2016.05.215 ,Perfluorodecylphosphonic acid,PFDPA,52299-26-0,C(C(C(C(C(C(F)(F)P(=O)(O)O)(F)F)(F)F)(F)F)(F)F)(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F,Danio rerio,female,plasma,0.66,24,24,TRUE,2.15,0.69,1.12,1.21,0,1.22,0,0.86,0.69,1.57,2.03,1.79,0.73,3,4.52,1.61,0.66,0.22,0.000506,0.0000372,0.0000264,0.00001,0.0000335,1.83
Chen et al. (2016),http://dx.doi.org/10.1016/j.scitotenv.2016.05.215 ,Perfluorodecylphosphonic acid,PFDPA,52299-26-0,C(C(C(C(C(C(F)(F)P(=O)(O)O)(F)F)(F)F)(F)F)(F)F)(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F,Danio rerio,female,plasma,4.179,24,24,TRUE,17.8,8.59,15.2,6.71,0,7.02,0,6.64,3.63,3.47,14.8,11.6,8.87,3,4.39,6.46,4.179,5.11,0.057,0.00237,0.00208,0.00335,0.00445,1.64
Chen et al. (2016),http://dx.doi.org/10.1016/j.scitotenv.2016.05.215 ,Perfluorodecylphosphonic acid,PFDPA,52299-26-0,C(C(C(C(C(C(F)(F)P(=O)(O)O)(F)F)(F)F)(F)F)(F)F)(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F,Danio rerio,female,liver,0.66,24,24,TRUE,2.15,0.69,1.12,1.21,0,1.22,0,0.86,0.69,1.57,2.03,1.79,0.73,3,4.52,1.61,0.66,0.22,0.000506,0.0000372,0.0000264,0.00001,0.0000335,3.15
Chen et al. (2016),http://dx.doi.org/10.1016/j.scitotenv.2016.05.215 ,Perfluorodecylphosphonic acid,PFDPA,52299-26-0,C(C(C(C(C(C(F)(F)P(=O)(O)O)(F)F)(F)F)(F)F)(F)F)(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F,Danio rerio,female,liver,4.179,24,24,TRUE,17.8,8.59,15.2,6.71,0,7.02,0,6.64,3.63,3.47,14.8,11.6,8.87,3,4.39,6.46,4.179,5.11,0.057,0.00237,0.00208,0.00335,0.00445,2.89
Chen et al. (2016),http://dx.doi.org/10.1016/j.scitotenv.2016.05.215 ,Perfluorodecylphosphonic acid,PFDPA,52299-26-0,C(C(C(C(C(C(F)(F)P(=O)(O)O)(F)F)(F)F)(F)F)(F)F)(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F,Danio rerio,female,muscle,0.66,24,24,TRUE,2.15,0.69,1.12,1.21,0,1.22,0,0.86,0.69,1.57,2.03,1.79,0.73,3,4.52,1.61,0.66,0.22,0.000506,0.0000372,0.0000264,0.00001,0.0000335,1.9
Chen et al. (2016),http://dx.doi.org/10.1016/j.scitotenv.2016.05.215 ,Perfluorodecylphosphonic acid,PFDPA,52299-26-0,C(C(C(C(C(C(F)(F)P(=O)(O)O)(F)F)(F)F)(F)F)(F)F)(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F,Danio rerio,female,muscle,4.179,24,24,TRUE,17.8,8.59,15.2,6.71,0,7.02,0,6.64,3.63,3.47,14.8,11.6,8.87,3,4.39,6.46,4.179,5.11,0.057,0.00237,0.00208,0.00335,0.00445,1.84
Chen et al. (2016),http://dx.doi.org/10.1016/j.scitotenv.2016.05.215 ,Perfluorodecylphosphonic acid,PFDPA,52299-26-0,C(C(C(C(C(C(F)(F)P(=O)(O)O)(F)F)(F)F)(F)F)(F)F)(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F,Danio rerio,female,ovary,0.66,24,24,TRUE,2.15,0.69,1.12,1.21,0,1.22,0,0.86,0.69,1.57,2.03,1.79,0.73,3,4.52,1.61,0.66,0.22,0.000506,0.0000372,0.0000264,0.00001,0.0000335,2.39
Chen et al. (2016),http://dx.doi.org/10.1016/j.scitotenv.2016.05.215 ,Perfluorodecylphosphonic acid,PFDPA,52299-26-0,C(C(C(C(C(C(F)(F)P(=O)(O)O)(F)F)(F)F)(F)F)(F)F)(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F,Danio rerio,female,ovary,4.179,24,24,TRUE,17.8,8.59,15.2,6.71,0,7.02,0,6.64,3.63,3.47,14.8,11.6,8.87,3,4.39,6.46,4.179,5.11,0.057,0.00237,0.00208,0.00335,0.00445,2.2
