,Tissue_plasma,506,142,Species_Oncorhynchus mykiss,Sex_male,Tissue_ovary,577,Tissue_blood ,4,Tissue_whole body,Tissue_liver,1292,1274,299,143,270,340,Sex_female,Mixture,141,Species_Danio rerio,236,372,Exposure Concentration (ug/L),1261,Tissue_gonad,247,Tissue_muscle,134,1576,Tissue_brain,Sex_both,553,367,Tissue_gill,Species_Cyprinus carpio,357
0,True,-0.208539272469327,0.0,False,False,False,1.5314516129032258,False,16.671824296562214,False,False,56.3926000175963,0.8300677204059526,0.8761842500000034,5.166666666666667,-22.01234567901235,0.0,True,1,0.0,True,-0.0212091796581899,0.1926476316279699,2.51,3.4613201402110083,False,-15.526748971193417,False,33.46913580246914,0.0,False,False,1.1570094842916416,0.0,False,False,-8.751714677640605
1,True,-0.208539272469327,0.0,False,False,False,1.5314516129032258,False,16.671824296562214,False,False,56.3926000175963,0.8300677204059526,0.8761842500000034,5.166666666666667,-22.01234567901235,0.0,True,1,0.0,True,-0.0212091796581899,0.1926476316279699,17.8,3.4613201402110083,False,-15.526748971193417,False,33.46913580246914,0.0,False,False,1.1570094842916416,0.0,False,False,-8.751714677640605
2,False,-0.208539272469327,0.0,False,False,False,1.5314516129032258,False,16.671824296562214,False,True,56.3926000175963,0.8300677204059526,0.8761842500000034,5.166666666666667,-22.01234567901235,0.0,True,1,0.0,True,-0.0212091796581899,0.1926476316279699,2.51,3.4613201402110083,False,-15.526748971193417,False,33.46913580246914,0.0,False,False,1.1570094842916416,0.0,False,False,-8.751714677640605
3,False,-0.208539272469327,0.0,False,False,False,1.5314516129032258,False,16.671824296562214,False,True,56.3926000175963,0.8300677204059526,0.8761842500000034,5.166666666666667,-22.01234567901235,0.0,True,1,0.0,True,-0.0212091796581899,0.1926476316279699,17.8,3.4613201402110083,False,-15.526748971193417,False,33.46913580246914,0.0,False,False,1.1570094842916416,0.0,False,False,-8.751714677640605
4,False,-0.208539272469327,0.0,False,False,False,1.5314516129032258,False,16.671824296562214,False,False,56.3926000175963,0.8300677204059526,0.8761842500000034,5.166666666666667,-22.01234567901235,0.0,True,1,0.0,True,-0.0212091796581899,0.1926476316279699,17.8,3.4613201402110083,False,-15.526748971193417,True,33.46913580246914,0.0,False,False,1.1570094842916416,0.0,False,False,-8.751714677640605
5,False,-0.208539272469327,0.0,False,False,True,1.5314516129032258,False,16.671824296562214,False,False,56.3926000175963,0.8300677204059526,0.8761842500000034,5.166666666666667,-22.01234567901235,0.0,True,1,0.0,True,-0.0212091796581899,0.1926476316279699,2.51,3.4613201402110083,False,-15.526748971193417,False,33.46913580246914,0.0,False,False,1.1570094842916416,0.0,False,False,-8.751714677640605
6,False,-0.208539272469327,0.0,False,False,True,1.5314516129032258,False,16.671824296562214,False,False,56.3926000175963,0.8300677204059526,0.8761842500000034,5.166666666666667,-22.01234567901235,0.0,True,1,0.0,True,-0.0212091796581899,0.1926476316279699,17.8,3.4613201402110083,False,-15.526748971193417,False,33.46913580246914,0.0,False,False,1.1570094842916416,0.0,False,False,-8.751714677640605
7,False,-0.208539272469327,0.0,False,False,False,1.5314516129032258,False,16.671824296562214,True,False,56.3926000175963,0.8300677204059526,0.8761842500000034,5.166666666666667,-22.01234567901235,0.0,True,1,0.0,True,-0.0212091796581899,0.1926476316279699,2.51,3.4613201402110083,False,-15.526748971193417,False,33.46913580246914,0.0,False,False,1.1570094842916416,0.0,False,False,-8.751714677640605
8,False,-0.208539272469327,0.0,False,False,False,1.5314516129032258,False,16.671824296562214,True,False,56.3926000175963,0.8300677204059526,0.8761842500000034,5.166666666666667,-22.01234567901235,0.0,True,1,0.0,True,-0.0212091796581899,0.1926476316279699,17.8,3.4613201402110083,False,-15.526748971193417,False,33.46913580246914,0.0,False,False,1.1570094842916416,0.0,False,False,-8.751714677640605
9,True,-0.2284405406678447,29.75,False,False,False,1.528364849833148,False,22.98041837751344,False,False,63.42446513843507,0.8477369635018085,0.8367620156250024,5.375,-21.006944444444436,-31.36216376410966,True,1,29.238095238095237,True,-0.0174917289375721,0.0980553739664304,0.69,3.8868421881310113,False,-1.6921296296296289,False,34.601851851851855,0.0,False,False,1.1781422849513634,0.546875,False,False,-0.747905643738977
10,True,-0.2284405406678447,29.75,False,False,False,1.528364849833148,False,22.98041837751344,False,False,63.42446513843507,0.8477369635018085,0.8367620156250024,5.375,-21.006944444444436,-31.36216376410966,True,1,29.238095238095237,True,-0.0174917289375721,0.0980553739664304,8.59,3.8868421881310113,False,-1.6921296296296289,False,34.601851851851855,0.0,False,False,1.1781422849513634,0.546875,False,False,-0.747905643738977
11,False,-0.2284405406678447,29.75,False,False,False,1.528364849833148,False,22.98041837751344,False,True,63.42446513843507,0.8477369635018085,0.8367620156250024,5.375,-21.006944444444436,-31.36216376410966,True,1,29.238095238095237,True,-0.0174917289375721,0.0980553739664304,0.69,3.8868421881310113,False,-1.6921296296296289,False,34.601851851851855,0.0,False,False,1.1781422849513634,0.546875,False,False,-0.747905643738977
12,False,-0.2284405406678447,29.75,False,False,False,1.528364849833148,False,22.98041837751344,False,True,63.42446513843507,0.8477369635018085,0.8367620156250024,5.375,-21.006944444444436,-31.36216376410966,True,1,29.238095238095237,True,-0.0174917289375721,0.0980553739664304,8.59,3.8868421881310113,False,-1.6921296296296289,False,34.601851851851855,0.0,False,False,1.1781422849513634,0.546875,False,False,-0.747905643738977
13,False,-0.2284405406678447,29.75,False,False,False,1.528364849833148,False,22.98041837751344,False,False,63.42446513843507,0.8477369635018085,0.8367620156250024,5.375,-21.006944444444436,-31.36216376410966,True,1,29.238095238095237,True,-0.0174917289375721,0.0980553739664304,0.69,3.8868421881310113,False,-1.6921296296296289,True,34.601851851851855,0.0,False,False,1.1781422849513634,0.546875,False,False,-0.747905643738977
14,False,-0.2284405406678447,29.75,False,False,False,1.528364849833148,False,22.98041837751344,False,False,63.42446513843507,0.8477369635018085,0.8367620156250024,5.375,-21.006944444444436,-31.36216376410966,True,1,29.238095238095237,True,-0.0174917289375721,0.0980553739664304,8.59,3.8868421881310113,False,-1.6921296296296289,True,34.601851851851855,0.0,False,False,1.1781422849513634,0.546875,False,False,-0.747905643738977
15,False,-0.2284405406678447,29.75,False,False,True,1.528364849833148,False,22.98041837751344,False,False,63.42446513843507,0.8477369635018085,0.8367620156250024,5.375,-21.006944444444436,-31.36216376410966,True,1,29.238095238095237,True,-0.0174917289375721,0.0980553739664304,0.69,3.8868421881310113,False,-1.6921296296296289,False,34.601851851851855,0.0,False,False,1.1781422849513634,0.546875,False,False,-0.747905643738977
16,False,-0.2284405406678447,29.75,False,False,True,1.528364849833148,False,22.98041837751344,False,False,63.42446513843507,0.8477369635018085,0.8367620156250024,5.375,-21.006944444444436,-31.36216376410966,True,1,29.238095238095237,True,-0.0174917289375721,0.0980553739664304,8.59,3.8868421881310113,False,-1.6921296296296289,False,34.601851851851855,0.0,False,False,1.1781422849513634,0.546875,False,False,-0.747905643738977
17,False,-0.2284405406678447,29.75,False,False,False,1.528364849833148,False,22.98041837751344,True,False,63.42446513843507,0.8477369635018085,0.8367620156250024,5.375,-21.006944444444436,-31.36216376410966,True,1,29.238095238095237,True,-0.0174917289375721,0.0980553739664304,0.69,3.8868421881310113,False,-1.6921296296296289,False,34.601851851851855,0.0,False,False,1.1781422849513634,0.546875,False,False,-0.747905643738977
